tmdb_id,imdb_id,title,original_title,tagline,overview,release_date,runtime_mins,certification,genres,keywords,spoken_languages,origin_country,collection,director,top_cast,production_companies,budget,revenue,vote_average,vote_count,popularity
228161,tt2224026,Home,Home,Earth just got a little stranger.,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",2015-03-18,94,PG,Fantasy|Comedy|Animation|Science Fiction|Family,spacecraft|villain|alien|space|alien invasion|alien friendship|awful leader|taking resposibility|approving|vibrant,English,US,,Tim Johnson,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,DreamWorks Animation,135000000,368871007,6.788,4180,7.6189
64682,tt1343092,The Great Gatsby,The Great Gatsby,Dream dangerously.,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",2013-05-09,143,PG-13,Drama|Romance,"infidelity|based on novel or book|obsession|hope|long island, new york|1920s|voiceover",English,US|AU,,Baz Luhrmann,Leonardo DiCaprio|Tobey Maguire|Carey Mulligan|Joel Edgerton|Elizabeth Debicki,Warner Bros. Pictures|Village Roadshow Pictures|Bazmark|Red Wagon Entertainment|A+E Global Media,105000000,351040419,7.353,12843,8.1414
714,tt0120347,Tomorrow Never Dies,Tomorrow Never Dies,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now James Bond must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,1997-12-11,119,PG-13,Adventure|Action|Thriller,"media tycoon|navy|london, england|china|england|missile|spy|secret intelligence service|intelligence|manipulation of the media|special car|motorcycle|secret service|hamburg, germany|news broadcaster|stealth technology|james bond",German|English|Danish|Mandarin|Cantonese,GB,James Bond Collection,Roger Spottiswoode,Pierce Brosnan|Jonathan Pryce|Michelle Yeoh|Teri Hatcher|Ricky Jay,EON Productions,110000000,333011068,6.377,3378,6.3415
950,tt0438097,Ice Age: The Meltdown,Ice Age: The Meltdown,Kiss your nuts goodbye.,"Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.",2006-03-29,91,PG,Animation|Family|Comedy|Adventure,mammoth|sloth|ice age|barrier ice|ice melting|iceberg|villain|flooding|deluge|lovers|sequel|saber-toothed tiger,English,US,Ice Age Collection,Carlos Saldanha,Ray Romano|John Leguizamo|Denis Leary|Queen Latifah|Seann William Scott,20th Century Fox Animation|Blue Sky Studios|20th Century Fox,80000000,660998756,6.716,10253,7.5325
467244,tt7160372,The Zone of Interest,The Zone of Interest,,"The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.",2023-12-15,105,PG-13,Drama|History,husband wife relationship|based on novel or book|nazi|concentration camp|holocaust (shoah)|world war ii|auschwitz-birkenau concentration camp|garden|biography|based on true story|nazi officer|genocide|1940s|commandant|complicity|segunda guerra mundial|nazismo,German|Polish|Yiddish,US,,Jonathan Glazer,Christian Friedel|Sandra Hüller|Johann Karthaus|Luis Noah Witte|Nele Ahrensmeier,A24|Film4 Productions|Access Entertainment|JW Films|Extreme Emotions,15000000,52631884,7.013,2518,7.7614
1140498,tt28083456,Is This Thing On?,Is This Thing On?,,"As their marriage quietly unravels, Alex faces middle age and an impending divorce, seeking new purpose in the New York comedy scene while Tess confronts the sacrifices she made for their family—forcing them to navigate co-parenting, identity, and whether love can take a new form.",2025-12-19,121,R,Comedy|Drama,new york city|stand-up comedy,English,US,,Bradley Cooper,Will Arnett|Laura Dern|Andra Day|Bradley Cooper|Christine Ebersole,Searchlight Pictures|Archery Pictures|Lea Pictures|TSG Entertainment,0,866747,6.6,76,9.3816
2567,tt0338751,The Aviator,The Aviator,Some men dream the future. He built it.,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",2004-12-17,170,PG-13,Drama,ladykiller|pilot|biography|based on true story|womanizer|phobia|aviation|period drama|u.s. congress|flying boat|test flight,English,US,,Martin Scorsese,Leonardo DiCaprio|Cate Blanchett|Kate Beckinsale|John C. Reilly|Alec Baldwin,Warner Bros. Pictures|Miramax|Initial Entertainment Group|Forward Pass|Appian Way|IMF,110000000,213719942,7.216,5753,7.9061
287947,tt0448115,Shazam!,Shazam!,Just say the word.,A boy is given the ability to become an adult superhero in times of need with a single magic word.,2019-03-29,132,PG-13,Action|Comedy|Fantasy,"philadelphia, pennsylvania|magic|secret identity|superhero|based on comic|wizard|superhuman strength|aftercreditsstinger|duringcreditsstinger|christmas|dc extended universe (dceu)|flossing",English,US,Shazam! Collection,David F. Sandberg,Zachary Levi|Mark Strong|Asher Angel|Jack Dylan Grazer|Adam Brody,New Line Cinema|The Safran Company|Seven Bucks Productions|DC Films,80000000,367799011,6.979,10098,7.528
1669,tt0099810,The Hunt for Red October,The Hunt for Red October,Invisible. Silent. Stolen.,"A new technologically-superior Soviet nuclear sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. Lone CIA analyst Jack Ryan has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it - because the entire Russian naval and air commands are trying to find Ramius, too. The hunt is on!",1990-03-02,135,PG-13,Action|Thriller,based on novel or book|submarine|cold war|intelligence|u.s. navy|defection|jack ryan|ex military|1980s|political thriller|nuclear submarine|soviet/russian navy|intelligence service|suspenseful|awestruck|exhilarated|cia analyst|russian submarine,English|Russian,US,The Jack Ryan Collection,John McTiernan,Sean Connery|Alec Baldwin|Scott Glenn|Sam Neill|James Earl Jones,Paramount Pictures|Mace Neufeld/Jerry Sherlock Productions,30000000,200512643,7.38,3567,8.6966
20504,tt1037705,The Book of Eli,The Book of Eli,Some will kill to have it. He will kill to protect it.,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",2010-01-14,118,R,Action|Thriller|Science Fiction,faith|chaos|dystopia|post-apocalyptic future|bible|survival|gunfight|blind|brutality|cannibal|combat|2040s|carnage,English,US,,Allen Hughes|Albert Hughes,Denzel Washington|Gary Oldman|Mila Kunis|Ray Stevenson|Jennifer Beals,Alcon Entertainment|Silver Pictures,80000000,157107755,6.791,6582,8.0581
